thinkofPlayingGameDayLong,spendFreeTimeonGame,feelingofGameAddiction,playingLongerThenIntended,spendLargeTimeonGame,unableToStopPlaying,gamingToForgetRealLife,gamingToReleaseStress,gamingToFeelBetter,unableToReduceGaming,unsuccessfulInfluenceofOthers,angryIssue,stressIssue,unsocialIssue,fightIssue,breakofRelationship,tendToDeceive,sleepIssue,tendToloseHobbies,tendToNeglectImportantActivities,neckandBackPain,orthopedicIssues,eyesightIssue,hearingIssue,height,weight,tendToCocurricularActivities,tendToPresentClass,tendToPeerInterraction,cgpa,Varsity
Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Often,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,65,50,Sometimes,Sometimes,Often,3.00-3.50,AIUB
Sometimes,Rarely,Somtimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Often,Often,Somtimes,Very Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Very Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,61,70,Rarely,Sometimes,Sometimes,3.00-3.50,AIUB
Rarely,Sometimes,Somtimes,Never,Sometimes,Sometimes,Never,Very Often,Often,Rarely,Never,Sometimes,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Often,83,79,Rarely,Sometimes,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Sometimes,Often,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Never,72,85,Rarely,Often,Sometimes,3.00-3.50,AIUB
Sometimes,Sometimes,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,68,70,Never,Never,Never,3.00-3.50,AIUB
Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Never,Never,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Often,Very Often,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Never,Sometimes,Never,Rarely,Sometimes,Rarely,Never,Never,Never,69,67,Sometimes,Never,Very Often,3.50-4.00,AIUB
Often,Sometimes,Somtimes,Often,Often,Often,Often,Sometimes,Often,Sometimes,Very Often,Very Often,Very Often,Very Often,Never,Often,Often,Often,Very Often,Often,Very Often,Often,Very Often,Often,65,67,Rarely,Often,Often,1.50-2.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Often,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Very Often,Sometimes,74,105,Sometimes,Sometimes,Sometimes,1.50-2.00,AIUB
Often,Very Often,Somtimes,Often,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Often,Very Often,Often,Often,Often,Often,Sometimes,Sometimes,Often,Often,68,70,Sometimes,Often,Often,2.00-2.50,AIUB
Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Often,Very Often,Very Often,Very Often,Often,Often,Often,Often,Very Often,66,86,Sometimes,Often,Rarely,2.00-2.50,AIUB
Very Often,Often,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Often,Often,Often,Sometimes,Often,Sometimes,61,57,Rarely,Often,Sometimes,2.00-2.50,AIUB
Very Often,Often,Often,Very Often,Very Often,Very Often,Often,Often,Often,Very Often,Very Often,Sometimes,Sometimes,Often,Often,Often,Often,Often,Often,Often,Often,Very Often,Very Often,Often,66,57,Sometimes,Sometimes,Rarely,1.50-2.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometime,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,72,89,Rarely,Rarely,Rarely,2.50-3.00,AIUB
Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Sometimes,Often,Somtimes,Sometimes,Often,Often,Sometimes,Very Often,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Rarely,Never,Sometimes,Very Often,Often,Often,Sometimes,Rarely,Often,Often,69,73,Rarely,Sometimes,Rarely,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,66,70,Sometimes,Sometimes,Sometimes,3.50-4.00,AIUB
Often,Often,Somtimes,Very Often,Very Often,Very Often,Often,Very Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Very Often,Sometimes,Rarely,Often,Very Often,Often,Often,Very Often,Sometimes,Very Often,Rarely,68,66,Rarely,Sometimes,Rarely,3.00-3.50,AIUB
Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Very Often,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Often,Very Often,Often,Very Often,67,45,Sometimes,Very Often,Rarely,2.00-2.50,AIUB
Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,72,89,Sometimes,Rarely,Sometimes,2.50-3.00,AIUB
Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Very Often,Very Often,Often,Often,Often,Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Very Often,Very Often,Often,68,75,Rarely,Often,Rarely,2.50-3.00,AIUB
Very Often,Very Often,Somtimes,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Very Often,Very Often,Very Often,Sometime,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Sometimes,Very Often,Very Often,62,56,Sometimes,Sometimes,Sometimes,1.50-2.00,AIUB
Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Sometimes,Sometimes,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometime,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,72,89,Sometimes,Sometimes,Sometimes,2.50-3.00,AIUB
Rarely,Sometimes,Somtimes,Very Often,Sometimes,Never,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Never,Sometime,Sometimes,Often,Never,Sometimes,Often,Sometimes,Sometimes,Sometimes,60,67,Often,Rarely,Sometimes,2.50-3.00,AIUB
Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Often,Never,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,68,82,Sometimes,Rarely,Very Often,3.00-3.50,AIUB
Never,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,68,82,Sometimes,Rarely,Very Often,3.00-3.50,AIUB
Rarely,Sometimes,Somtimes,Sometimes,Never,Rarely,Sometimes,Never,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,62,56,Rarely,Rarely,Sometimes,3.00-3.50,AIUB
Sometimes,Sometimes,Somtimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Very Often,Often,Often,Sometimes,Often,Very Often,Often,Very Often,Very Often,Very Often,66,78,Rarely,Often,Rarely,1.50-2.00,AIUB
Rarely,Often,Very Often,Sometimes,Often,Very Often,Often,Very Often,Very Often,Sometimes,Very Often,Often,Often,Often,Sometimes,Sometime,Never,Very Often,Never,Very Often,Often,Often,Often,Never,57,45,Sometimes,Never,Often,3.50-4.00,AIUB
Sometimes,Sometimes,Very Often,Very Often,Sometimes,Rarely,Often,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Never,Often,Sometime,Rarely,Sometimes,Never,Sometimes,Often,Rarely,Rarely,Often,51,77,Sometimes,Sometimes,Sometimes,3.00-3.50,AIUB
